CompanyName,Price,PriceEarning,EPS,ChowderRule,FiveYearPayback
Altria Group Inc.,053.10,24.36,95.41,12.5,12.66
Archer Daniels Midland,406.63,15.97,32.88,13.4,06.45
Brown-Forman Class B,088.87,28.58,40.51,10.4,07.83
Clorox Company,106.71,24.64,68.36,11.4,16.83
Coca-Cola Company,041.17,22.87,67.78,11.2,06.49
Colgate-Palmolive Co.,067.52,29.61,63.16,12.7,08.23
Hormel Foods Corp.,051.22,22.97,44.84,18.0,05.15
Kimberly-Clark Corp.,107.96,19.11,59.47,10.5,20.88
Lancaster Colony Corp.,089.93,24.84,50.83,11.1,10.56
McCormick & Co.,071.39,22.45,50.31,11.3,08.58
PepsiCo Inc.,093.78,20.75,57.96,10.5,15.87
Procter & Gamble Co.,084.29,23.81,72.72,11.1,15.46
Sysco Corp.,039.17,25.11,76.92,06.9,06.82
Tootsie Roll Industries,031.19,30.28,31.07,03.9,01.95
Universal Corp.,040.16,15.15,78.49,07.3,11.63
Walgreens Boots Alliance Inc.,073.75,34.79,63.68,23.0,08.05
