CompanyName,Price,PriceEarning,EPS,ChowderRule,FiveYearPayback
1st Source Corp.,029.73,029.62,12.23,06.19,04.36
AFLAC Inc.,057.08,024.45,08.94,08.46,08.35
Chubb Corp.,097.90,023.44,11.47,09.09,11.63
Cincinnati Financial,050.51,063.23,17.35,05.78,09.85
Commerce Bancshares,040.00,033.83,15.03,06.92,04.82
Community Trust Banc.,031.58,047.24,12.43,05.25,06.53
Eagle Financial Services,023.25,041.88,12.17,05.95,04.21
Eaton Vance Corp.,040.25,040.65,16.36,10.28,06.11
Erie Indemnity Company,086.66,080.11,25.48,10.27,15.97
Federal Realty Inv. Trust,143.77,150.00,61.96,06.64,19.79
First Financial Corp.,032.41,038.88,12.86,04.53,05.14
Franklin Resources,051.53,015.83,13.59,12.54,03.17
HCP Inc.,047.29,111.33,23.29,08.22,12.39
McGraw Hill Financial Inc.,089.44,036.80,27.43,07.26,08.05
Mercury General Corp.,057.15,063.33,14.65,05.43,12.85
National Retail Properties,042.84,146.08,37.25,05.84,09.15
Old Republic International,014.04,051.04,89.81,06.62,04.22
RLI Corp.,046.91,023.92,15.58,07.55,04.44
T. Rowe Price Group,078.72,039.72,17.76,14.20,11.70
Tompkins Financial Corp.,051.27,046.66,14.24,08.82,09.84
United Bankshares Inc.,033.81,069.94,18.47,05.77,07.22
Universal Health Realty Trust,053.73,084.38,17.85,05.87,13.09
