CompanyName,Price,PriceEarning,EPS,ChowderRule,FiveYearPayback
3M Company,162.30,56.32,22.29,13.41,22.16
ABM Industries Inc.,028.87,48.48,21.87,05.80,03.56
Brady Corp.,026.17,n/a,n/a,05.82,05.11
Carlisle Companies,089.68,20.62,18.49,09.45,06.31
Cintas Corp.,078.70,24.08,22.29,13.66,05.71
Clarcor Inc.,062.53,28.27,22.10,15.36,04.77
Donaldson Company,036.56,37.71,20.89,24.33,04.11
Dover Corp.,070.04,32.59,14.26,15.00,10.21
Emerson Electric,056.94,61.64,18.67,09.14,11.24
Gorman-Rupp Company,028.51,29.63,21.12,08.78,02.43
Illinois Tool Works,093.09,43.89,21.06,09.16,10.76
MSA Safety Inc.,043.66,59.62,20.99,07.92,07.58
Nordson Corp.,072.86,22.86,18.92,17.96,05.37
Parker-Hannifin Corp.,116.46,35.44,16.38,17.83,13.86
Pentair Ltd.,061.81,39.26,18.96,10.92,07.39
Raven Industries,021.44,56.52,23.30,15.08,02.95
Stanley Black & Decker,093.65,48.04,21.63,11.65,13.49
Tennant Company,065.21,34.48,28.11,09.26,04.81
W.W. Grainger Inc.,235.84,37.47,20.45,20.39,27.95
