CompanyName,Price,PriceEarning,EPS,ChowderRule,FiveYearPayback
Air Products & Chem.,145.61,67.10,31.72,13.14,18.62
Bemis Company,044.30,46.15,18.93,06.15,06.88
H.B. Fuller Company,041.15,49.48,42.42,12.41,02.84
Nucor Corp.,043.65,70.95,20.79,04.39,09.13
PPG Industries Inc.,222.88,34.14,28.39,05.43,17.59
RPM International Inc.,047.86,48.37,22.26,06.19,06.58
Sherwin-Williams Co.,271.27,25.61,31.58,09.96,14.77
Sigma-Aldrich Corp.,137.52,22.22,33.22,10.33,05.64
Sonoco Products Co.,044.20,55.17,19.05,06.19,08.07
Stepan Company,038.40,26.77,14.28,10.80,04.25
Valspar Corp.,083.43,29.78,20.70,13.91,07.25
